,nvars,nclauses,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-entropy,VG-mean,VG-coeff-variation,CG-mean,CG-coeff-variation,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-entropy
SWGCP_only_5000/SWlin2006.15110.cnf,1145,9160,1,0,0,0.002620087,0.881917104,0.376770161,0,0.875,0.875,0.002620087,0.03304093,0.5038781,0.166855997,0.005760384,0.5038781,0.001528384,0.028320797,0.5038781,0.005895197,0.036712144,0.003142937,1.142247693,1.609383121,0.11012001,0.449895718,1.317909066
SWGCP_only_5000/SWlin2006.15111.cnf,1900,15200,1,0,0,0.001578947,0.881917104,0.376770161,0,0.875,0.875,0.001578947,0.033660673,0.538932652,0.166854198,0.005593004,0.538932652,0.000921053,0.028852006,0.538932652,0.003552632,0.037400748,0.001894131,1.142333475,1.667635321,0.110120847,0.449843226,1.312797288
SWGCP_only_5000/SWlin2006.15112.cnf,775,6200,1,0,0,0.003870968,0.881917104,0.376770161,0,0.875,0.875,0.003870968,0.034130259,0.544234249,0.166866682,0.005887647,0.544234249,0.002258065,0.029254507,0.544234249,0.008709677,0.03792251,0.004643861,1.142323422,1.666693222,0.110122815,0.450035632,1.349894564
SWGCP_only_5000/SWlin2006.15113.cnf,1390,11120,1,0,0,0.002158273,0.881917104,0.376770161,0,0.875,0.875,0.002158273,0.029143105,0.45626032,0.16680921,0.004906034,0.45626032,0.001258993,0.024979804,0.45626032,0.004856115,0.032381227,0.002588181,1.142120456,1.549969705,0.110117135,0.449274285,1.252316902
SWGCP_only_5000/SWlin2006.15114.cnf,820,6560,1,0,0,0.003658537,0.881917104,0.376770161,0,0.875,0.875,0.003658537,0.029101262,0.455324861,0.166808801,0.004898996,0.455324861,0.002134146,0.024943939,0.455324861,0.008231707,0.032334736,0.004387269,1.142122051,1.556985566,0.110117336,0.449269262,1.251610303
SWGCP_only_5000/SWlin2006.15115.cnf,1625,13000,1,0,0,0.001846154,0.881917104,0.376770161,0,0.875,0.875,0.001846154,0.032686023,0.515371015,0.166846589,0.005530363,0.515371015,0.001076923,0.028016591,0.515371015,0.004153846,0.036317803,0.002214497,1.142258372,1.621323328,0.110119119,0.449754668,1.303412437
SWGCP_only_5000/SWlin2006.15116.cnf,780,6240,1,0,0,0.003846154,0.881917104,0.376770161,0,0.875,0.875,0.003846154,0.034020691,0.541771618,0.166857715,0.00563851,0.541771618,0.00224359,0.029160592,0.541771618,0.008653846,0.037800768,0.004614049,1.142328864,1.654277744,0.110118785,0.449877244,1.28751974
SWGCP_only_5000/SWlin2006.15117.cnf,1670,13360,1,0,0,0.001796407,0.881917104,0.376770161,0,0.875,0.875,0.001796407,0.034122397,0.546445119,0.166866267,0.005876199,0.546445119,0.001047904,0.029247769,0.546445119,0.004041916,0.037913775,0.002155084,1.142328738,1.674248164,0.110122629,0.450023769,1.342572202
SWGCP_only_5000/SWlin2006.15118.cnf,575,4600,1,0,0,0.005217391,0.881917104,0.376770161,0,0.875,0.875,0.005217391,0.029075946,0.454758961,0.166808554,0.004894738,0.454758961,0.003043478,0.024922239,0.454758961,0.01173913,0.032306607,0.006256616,1.142120429,1.551586092,0.110117234,0.449265655,1.248955242
SWGCP_only_5000/SWlin2006.15119.cnf,585,4680,1,0,0,0.005128205,0.881917104,0.376770161,0,0.875,0.875,0.005128205,0.032686023,0.496077216,0.166841705,0.005379646,0.496077216,0.002991453,0.028016591,0.496077216,0.011538462,0.036317803,0.006151381,1.142318229,1.610611914,0.110120811,0.449677146,1.259789673
SWGCP_only_5000/SWlin2006.15120.cnf,1005,8040,1,0,0,0.002985075,0.881917104,0.376770161,0,0.875,0.875,0.002985075,0.029971425,0.451552656,0.166820907,0.00517091,0.451552656,0.001741294,0.025689793,0.451552656,0.006716418,0.033301584,0.003579893,1.142143129,1.553376332,0.110118474,0.449439275,1.270094067
SWGCP_only_5000/SWlin2006.15121.cnf,1275,10200,1,0,0,0.002352941,0.881917104,0.376770161,0,0.875,0.875,0.002352941,0.033819977,0.549100905,0.166861374,0.005780626,0.549100905,0.001372549,0.028988552,0.549100905,0.005294118,0.037577752,0.002822664,1.142318001,1.67957822,0.110122017,0.449955048,1.339391196
SWGCP_only_5000/SWlin2006.15122.cnf,1890,15120,1,0,0,0.001587302,0.881917104,0.376770161,0,0.875,0.875,0.001587302,0.032642758,0.514209532,0.1668492,0.005617332,0.514209532,0.000925926,0.027979507,0.514209532,0.003571429,0.036269732,0.001903992,1.142283928,1.641190455,0.110123043,0.449809636,1.321490449
SWGCP_only_5000/SWlin2006.15123.cnf,1205,9640,1,0,0,0.002489627,0.881917104,0.376770161,0,0.875,0.875,0.002489627,0.031300386,0.488113101,0.166829022,0.005207222,0.488113101,0.001452282,0.026828902,0.488113101,0.00560166,0.034778206,0.002986024,1.14221886,1.589945044,0.11011855,0.44952373,1.273854542
SWGCP_only_5000/SWlin2006.15124.cnf,905,7240,1,0,0,0.003314917,0.881917104,0.376770161,0,0.875,0.875,0.003314917,0.032776191,0.516183624,0.166850829,0.005644621,0.516183624,0.001933702,0.028093878,0.516183624,0.007458564,0.03641799,0.003976336,1.142273633,1.649504538,0.110121834,0.449826364,1.324026951
SWGCP_only_5000/SWlin2006.15125.cnf,1555,12440,1,0,0,0.00192926,0.881917104,0.376770161,0,0.875,0.875,0.00192926,0.034075343,0.548042842,0.166862184,0.005764026,0.548042842,0.001125402,0.029207437,0.548042842,0.004340836,0.037861492,0.002314453,1.142308325,1.657445791,0.110119122,0.449949514,1.318895717
SWGCP_only_5000/SWlin2006.15126.cnf,1560,12480,1,0,0,0.001923077,0.881917104,0.376770161,0,0.875,0.875,0.001923077,0.033360032,0.525594493,0.166850244,0.005525666,0.525594493,0.001121795,0.028594313,0.525594493,0.004326923,0.037066702,0.002306896,1.142324397,1.654044577,0.110120527,0.449790406,1.296581542
SWGCP_only_5000/SWlin2006.15127.cnf,1980,15840,1,0,0,0.001515152,0.881917104,0.376770161,0,0.875,0.875,0.001515152,0.033501261,0.513762668,0.166859067,0.005775597,0.513762668,0.000883838,0.028715366,0.513762668,0.003409091,0.037223623,0.001817576,1.142284878,1.618683561,0.110120571,0.449928962,1.315812234
SWGCP_only_5000/SWlin2006.15128.cnf,540,4320,1,0,0,0.005555556,0.881917104,0.376770161,0,0.875,0.875,0.005555556,0.032075015,0.522171841,0.166839334,0.005399118,0.522171841,0.003240741,0.02749287,0.522171841,0.0125,0.035638906,0.006663666,1.142248784,1.650752485,0.110119829,0.449658916,1.296991454
SWGCP_only_5000/SWlin2006.15129.cnf,1890,15120,1,0,0,0.001587302,0.881917104,0.376770161,0,0.875,0.875,0.001587302,0.032075015,0.513723097,0.166838012,0.005360862,0.513723097,0.000925926,0.02749287,0.513723097,0.003571429,0.035638906,0.001903905,1.142255072,1.637804473,0.110119798,0.449641361,1.300202363
SWGCP_only_5000/SWlin2006.15130.cnf,1795,14360,1,0,0,0.001671309,0.881917104,0.376770161,0,0.875,0.875,0.001671309,0.033495428,0.507505834,0.166852739,0.00558609,0.507505834,0.00097493,0.028710367,0.507505834,0.003760446,0.037217142,0.002004902,1.14236048,1.632054027,0.110123139,0.449832987,1.293613795
SWGCP_only_5000/SWlin2006.15131.cnf,560,4480,1,0,0,0.005357143,0.881917104,0.376770161,0,0.875,0.875,0.005357143,0.031497039,0.509137344,0.166833167,0.005301926,0.509137344,0.003125,0.026997462,0.509137344,0.012053571,0.03499671,0.006425383,1.142196857,1.618668348,0.110117251,0.449575116,1.283863086
SWGCP_only_5000/SWlin2006.15132.cnf,1065,8520,1,0,0,0.002816901,0.881917104,0.376770161,0,0.875,0.875,0.002816901,0.031274443,0.504120936,0.166830822,0.005264493,0.504120936,0.001643192,0.026806665,0.504120936,0.006338028,0.034749381,0.003378546,1.142214311,1.622071779,0.110119263,0.449551431,1.288975596
SWGCP_only_5000/SWlin2006.15133.cnf,900,7200,1,0,0,0.003333333,0.881917104,0.376770161,0,0.875,0.875,0.003333333,0.030429031,0.485094091,0.166822067,0.005122315,0.485094091,0.001944444,0.026082027,0.485094091,0.0075,0.033810034,0.003997685,1.142200222,1.606577965,0.110120302,0.449444074,1.279314656
SWGCP_only_5000/SWlin2006.15134.cnf,575,4600,1,0,0,0.005217391,0.881917104,0.376770161,0,0.875,0.875,0.005217391,0.026919095,0.406860829,0.166788284,0.004531919,0.406860829,0.003043478,0.02307351,0.406860829,0.01173913,0.029910106,0.006255671,1.14205293,1.491208131,0.110117175,0.449013344,1.231084362
SWGCP_only_5000/SWlin2006.15135.cnf,875,7000,1,0,0,0.003428571,0.881917104,0.376770161,0,0.875,0.875,0.003428571,0.032120804,0.461269365,0.166834118,0.005239788,0.461269365,0.002,0.027532117,0.461269365,0.007714286,0.035689782,0.004112449,1.142293685,1.583690441,0.110119938,0.449579675,1.248205499
SWGCP_only_5000/SWlin2006.15136.cnf,970,7760,1,0,0,0.003092784,0.881917104,0.376770161,0,0.875,0.875,0.003092784,0.031658979,0.512788169,0.166834883,0.005329158,0.512788169,0.001804124,0.027136268,0.512788169,0.006958763,0.035176643,0.003709547,1.142223566,1.616858584,0.110118789,0.449599545,1.282652994
SWGCP_only_5000/SWlin2006.15137.cnf,1970,15760,1,0,0,0.001522843,0.881917104,0.376770161,0,0.875,0.875,0.001522843,0.030850878,0.485677444,0.16682818,0.005255884,0.485677444,0.000888325,0.026443609,0.485677444,0.003426396,0.034278753,0.001826413,1.142176111,1.589810422,0.110118132,0.449522906,1.282999322
SWGCP_only_5000/SWlin2006.15138.cnf,1900,15200,1,0,0,0.001578947,0.881917104,0.376770161,0,0.875,0.875,0.001578947,0.031414043,0.507266681,0.166832291,0.005287969,0.507266681,0.000921053,0.026926323,0.507266681,0.003552632,0.034904492,0.001893785,1.142193648,1.612704316,0.110117215,0.449564192,1.283772875
SWGCP_only_5000/SWlin2006.15139.cnf,2380,19040,1,0,0,0.001260504,0.881917104,0.376770161,0,0.875,0.875,0.001260504,0.031030391,0.491839438,0.16682722,0.005192063,0.491839438,0.000735294,0.026597478,0.491839438,0.002836134,0.034478212,0.0015118,1.142195568,1.590958263,0.110117814,0.449500209,1.27690835
SWGCP_only_5000/SWlin2006.15140.cnf,2420,19360,1,0,0,0.001239669,0.881917104,0.376770161,0,0.875,0.875,0.001239669,0.032584565,0.500826068,0.166843212,0.005445295,0.500826068,0.00072314,0.027929627,0.500826068,0.002789256,0.036205073,0.001486995,1.142260959,1.602822508,0.110118295,0.4497024,1.276597753
SWGCP_only_5000/SWlin2006.15141.cnf,645,5160,1,0,0,0.004651163,0.881917104,0.376770161,0,0.875,0.875,0.004651163,0.034414007,0.544198269,0.166861562,0.005687333,0.544198269,0.002713178,0.02949772,0.544198269,0.010465116,0.038237785,0.005579968,1.142425418,1.680391451,0.110125206,0.449943306,1.327692345
SWGCP_only_5000/SWlin2006.15142.cnf,1860,14880,1,0,0,0.001612903,0.881917104,0.376770161,0,0.875,0.875,0.001612903,0.03233265,0.519551239,0.166840776,0.005403877,0.519551239,0.00094086,0.0277137,0.519551239,0.003629032,0.035925166,0.001934653,1.142255191,1.633163667,0.110118842,0.449671147,1.288879669
SWGCP_only_5000/SWlin2006.15143.cnf,1855,14840,1,0,0,0.001617251,0.881917104,0.376770161,0,0.875,0.875,0.001617251,0.032376195,0.497338096,0.166841784,0.005436542,0.497338096,0.000943396,0.027751025,0.497338096,0.003638814,0.03597355,0.001939874,1.142259126,1.600497112,0.110119238,0.449690964,1.278323995
SWGCP_only_5000/SWlin2006.15144.cnf,830,6640,1,0,0,0.003614458,0.881917104,0.376770161,0,0.875,0.875,0.003614458,0.031686213,0.513402235,0.166835173,0.005333738,0.513402235,0.002108434,0.027159611,0.513402235,0.00813253,0.035206903,0.004335263,1.14219943,1.603268114,0.110116767,0.449597705,1.276292102
SWGCP_only_5000/SWlin2006.15145.cnf,1055,8440,1,0,0,0.002843602,0.881917104,0.376770161,0,0.875,0.875,0.002843602,0.031422313,0.487811395,0.166835692,0.005403624,0.487811395,0.001658768,0.026933411,0.487811395,0.006398104,0.034913681,0.00341061,1.142201478,1.59609325,0.110119331,0.449626525,1.292372796
SWGCP_only_5000/SWlin2006.15146.cnf,720,5760,1,0,0,0.004166667,0.881917104,0.376770161,0,0.875,0.875,0.004166667,0.0310565,0.4992118,0.166828542,0.005227841,0.4992118,0.002430556,0.026619857,0.4992118,0.009375,0.034507222,0.004997348,1.142185419,1.597451546,0.110117319,0.449515921,1.270356608
SWGCP_only_5000/SWlin2006.15147.cnf,840,6720,1,0,0,0.003571429,0.881917104,0.376770161,0,0.875,0.875,0.003571429,0.032783158,0.48624101,0.166848231,0.005573039,0.48624101,0.002083333,0.02809985,0.48624101,0.008035714,0.036425731,0.004284031,1.142285377,1.593773436,0.11012135,0.449788675,1.292143193
SWGCP_only_5000/SWlin2006.15148.cnf,1760,14080,1,0,0,0.001704545,0.881917104,0.376770161,0,0.875,0.875,0.001704545,0.031407432,0.486526984,0.166832788,0.005314245,0.486526984,0.000994318,0.026920656,0.486526984,0.003835227,0.034897146,0.002044426,1.142231664,1.600893889,0.110120401,0.449584234,1.285971097
SWGCP_only_5000/SWlin2006.15149.cnf,1125,9000,1,0,0,0.002666667,0.881917104,0.376770161,0,0.875,0.875,0.002666667,0.029397237,0.441057456,0.166814815,0.005063235,0.441057456,0.001555556,0.025197632,0.441057456,0.006,0.032663596,0.003197901,1.142097067,1.521599126,0.110116154,0.449356077,1.259361042
SWGCP_only_5000/SWlin2006.15150.cnf,2405,19240,1,0,0,0.001247401,0.881917104,0.376770161,0,0.875,0.875,0.001247401,0.033557803,0.524998764,0.16685899,0.005761003,0.524998764,0.000727651,0.028763831,0.524998764,0.002806653,0.037286448,0.00149639,1.142280851,1.63007391,0.110119754,0.449922199,1.314915227
SWGCP_only_5000/SWlin2006.15151.cnf,2130,17040,1,0,0,0.001408451,0.881917104,0.376770161,0,0.875,0.875,0.001408451,0.034732002,0.538096234,0.166871704,0.005937907,0.538096234,0.000821596,0.029770287,0.538096234,0.003169014,0.038591113,0.001689755,1.142346991,1.655795405,0.110121232,0.450084945,1.33124634
SWGCP_only_5000/SWlin2006.15152.cnf,1700,13600,1,0,0,0.001764706,0.881917104,0.376770161,0,0.875,0.875,0.001764706,0.030651957,0.479074957,0.166822883,0.005115263,0.479074957,0.001029412,0.026273106,0.479074957,0.003970588,0.03405773,0.002116458,1.142180882,1.580550841,0.110117226,0.449441549,1.257275386
SWGCP_only_5000/SWlin2006.15153.cnf,2170,17360,1,0,0,0.001382488,0.881917104,0.376770161,0,0.875,0.875,0.001382488,0.032001024,0.51347326,0.166837387,0.005353294,0.51347326,0.000806452,0.027429449,0.51347326,0.003110599,0.035556693,0.00165823,1.142251213,1.625596792,0.110119658,0.449632574,1.292946515
SWGCP_only_5000/SWlin2006.15154.cnf,840,6720,1,0,0,0.003571429,0.881917104,0.376770161,0,0.875,0.875,0.003571429,0.030156119,0.478962415,0.166819292,0.005076416,0.478962415,0.002083333,0.025848102,0.478962415,0.008035714,0.033506799,0.004283146,1.142146018,1.573238564,0.110116557,0.449398403,1.259681267
SWGCP_only_5000/SWlin2006.15155.cnf,1035,8280,1,0,0,0.002898551,0.881917104,0.376770161,0,0.875,0.875,0.002898551,0.032764879,0.519566298,0.166844428,0.005446548,0.519566298,0.001690821,0.028084182,0.519566298,0.006521739,0.036405421,0.00347689,1.142243089,1.618203737,0.110116054,0.449706745,1.276121508
SWGCP_only_5000/SWlin2006.15156.cnf,2335,18680,1,0,0,0.001284797,0.881917104,0.376770161,0,0.875,0.875,0.001284797,0.033172345,0.520916922,0.166855842,0.00573,0.520916922,0.000749465,0.028433439,0.520916922,0.002890792,0.036858161,0.0015412,1.142266807,1.632511792,0.110120479,0.449888571,1.32342661
SWGCP_only_5000/SWlin2006.15157.cnf,2405,19240,1,0,0,0.001247401,0.881917104,0.376770161,0,0.875,0.875,0.001247401,0.029918655,0.466241719,0.166818351,0.005089414,0.466241719,0.000727651,0.025644561,0.466241719,0.002806653,0.03324295,0.001495958,1.142150424,1.570357251,0.11011815,0.449396677,1.263103086
SWGCP_only_5000/SWlin2006.15158.cnf,1360,10880,1,0,0,0.002205882,0.881917104,0.376770161,0,0.875,0.875,0.002205882,0.031956875,0.506127201,0.166836227,0.005325814,0.506127201,0.001286765,0.027391607,0.506127201,0.004963235,0.035507638,0.002645842,1.142238095,1.612248317,0.110118245,0.449611754,1.279570865
SWGCP_only_5000/SWlin2006.15159.cnf,1500,12000,1,0,0,0.002,0.881917104,0.376770161,0,0.875,0.875,0.002,0.031180478,0.50200409,0.166829837,0.005248691,0.50200409,0.001166667,0.026726124,0.50200409,0.0045,0.034644976,0.00239875,1.142192585,1.602377727,0.110117832,0.449536032,1.285406069
SWGCP_only_5000/SWlin2006.15160.cnf,1885,15080,1,0,0,0.001591512,0.881917104,0.376770161,0,0.875,0.875,0.001591512,0.032686023,0.519282388,0.166846505,0.00552644,0.519282388,0.000928382,0.028016591,0.519282388,0.003580902,0.036317803,0.001909049,1.142260558,1.629443647,0.110119294,0.449753501,1.301308701
SWGCP_only_5000/SWlin2006.15161.cnf,890,7120,1,0,0,0.003370787,0.881917104,0.376770161,0,0.875,0.875,0.003370787,0.030599503,0.488927031,0.166823813,0.005150985,0.488927031,0.001966292,0.026228145,0.488927031,0.00758427,0.033999448,0.004042656,1.142167041,1.58862959,0.110117379,0.449459917,1.280638788
SWGCP_only_5000/SWlin2006.15162.cnf,1960,15680,1,0,0,0.001530612,0.881917104,0.376770161,0,0.875,0.875,0.001530612,0.033141455,0.531148216,0.166851516,0.005601755,0.531148216,0.000892857,0.028406961,0.531148216,0.003443878,0.036823838,0.001836068,1.142308635,1.653844378,0.110121835,0.449822361,1.313853916
SWGCP_only_5000/SWlin2006.15163.cnf,1525,12200,1,0,0,0.001967213,0.881917104,0.376770161,0,0.875,0.875,0.001967213,0.03374068,0.550017354,0.166856095,0.005634098,0.550017354,0.001147541,0.028920583,0.550017354,0.00442623,0.037489645,0.002359917,1.142343891,1.675987689,0.110122239,0.449875344,1.335942505
SWGCP_only_5000/SWlin2006.15164.cnf,2485,19880,1,0,0,0.001207243,0.881917104,0.376770161,0,0.875,0.875,0.001207243,0.032155585,0.518259843,0.166841609,0.005460372,0.518259843,0.000704225,0.02756193,0.518259843,0.002716298,0.035728428,0.001448049,1.142248125,1.638709247,0.110120283,0.449695648,1.306344848
SWGCP_only_5000/SWlin2006.15165.cnf,1435,11480,1,0,0,0.002090592,0.881917104,0.376770161,0,0.875,0.875,0.002090592,0.031110558,0.500429219,0.166829106,0.005236932,0.500429219,0.001219512,0.026666193,0.500429219,0.004703833,0.034567287,0.002507391,1.142181982,1.602659931,0.110117087,0.449524009,1.279693668
SWGCP_only_5000/SWlin2006.15166.cnf,1515,12120,1,0,0,0.001980198,0.881917104,0.376770161,0,0.875,0.875,0.001980198,0.031755853,0.503219367,0.166838222,0.00542445,0.503219367,0.001155116,0.027219302,0.503219367,0.004455446,0.035284281,0.002375108,1.142225225,1.611247577,0.110119984,0.449656765,1.301140098
SWGCP_only_5000/SWlin2006.15167.cnf,1205,9640,1,0,0,0.002489627,0.881917104,0.376770161,0,0.875,0.875,0.002489627,0.033090401,0.514716582,0.166851268,0.00560779,0.514716582,0.001452282,0.028363201,0.514716582,0.00560166,0.036767112,0.002986454,1.142302812,1.643032593,0.11012162,0.449821937,1.315042284
SWGCP_only_5000/SWlin2006.15168.cnf,1425,11400,1,0,0,0.002105263,0.881917104,0.376770161,0,0.875,0.875,0.002105263,0.034904492,0.548500835,0.166870089,0.005858882,0.548500835,0.00122807,0.029918136,0.548500835,0.004736842,0.038782769,0.002525777,1.142363553,1.66036468,0.110120309,0.450049529,1.320763852
SWGCP_only_5000/SWlin2006.15169.cnf,745,5960,1,0,0,0.004026846,0.881917104,0.376770161,0,0.875,0.875,0.004026846,0.033445003,0.494403259,0.166855739,0.005690065,0.494403259,0.002348993,0.028667146,0.494403259,0.009060403,0.037161115,0.004830582,1.14229583,1.585205755,0.11011982,0.449874863,1.281170396
SWGCP_only_5000/SWlin2006.15170.cnf,1930,15440,1,0,0,0.001554404,0.881917104,0.376770161,0,0.875,0.875,0.001554404,0.032854944,0.53215298,0.166849644,0.005590317,0.53215298,0.000906736,0.02816138,0.53215298,0.003497409,0.036505493,0.001864563,1.142287488,1.651590458,0.110121824,0.449803466,1.322501445
SWGCP_only_5000/SWlin2006.15171.cnf,2145,17160,1,0,0,0.001398601,0.881917104,0.376770161,0,0.875,0.875,0.001398601,0.034139437,0.53435615,0.166866001,0.005870182,0.53435615,0.000815851,0.029262375,0.53435615,0.003146853,0.037932708,0.001677853,1.142338445,1.660396912,0.110123056,0.450022262,1.334437653
SWGCP_only_5000/SWlin2006.15172.cnf,1710,13680,1,0,0,0.001754386,0.881917104,0.376770161,0,0.875,0.875,0.001754386,0.031219527,0.492442949,0.166832291,0.005326496,0.492442949,0.001023392,0.026759595,0.492442949,0.003947368,0.034688363,0.002104173,1.14222555,1.614798946,0.110121348,0.449585171,1.294960597
SWGCP_only_5000/SWlin2006.15173.cnf,2360,18880,1,0,0,0.001271186,0.881917104,0.376770161,0,0.875,0.875,0.001271186,0.031161598,0.501578812,0.166829639,0.005245516,0.501578812,0.000741525,0.026709941,0.501578812,0.002860169,0.034623998,0.001524627,1.142199047,1.611787759,0.110118313,0.449533888,1.283569584
SWGCP_only_5000/SWlin2006.15174.cnf,1395,11160,1,0,0,0.002150538,0.881917104,0.376770161,0,0.875,0.875,0.002150538,0.031553435,0.510408628,0.166833764,0.00531141,0.510408628,0.00125448,0.027045802,0.510408628,0.00483871,0.035059372,0.002579377,1.142218924,1.624216702,0.110118925,0.449587788,1.292780388
SWGCP_only_5000/SWlin2006.15175.cnf,1825,14600,1,0,0,0.001643836,0.881917104,0.376770161,0,0.875,0.875,0.001643836,0.032053038,0.512792697,0.166837728,0.005355771,0.512792697,0.000958904,0.027474033,0.512792697,0.00369863,0.035614487,0.001971711,1.142238109,1.62678162,0.11011836,0.449632865,1.290482591
SWGCP_only_5000/SWlin2006.15176.cnf,700,5600,1,0,0,0.004285714,0.881917104,0.376770161,0,0.875,0.875,0.004285714,0.031497039,0.47524908,0.166838162,0.005472831,0.47524908,0.0025,0.026997462,0.47524908,0.009642857,0.03499671,0.005140306,1.142168555,1.570067912,0.110117432,0.449661085,1.295207603
SWGCP_only_5000/SWlin2006.15177.cnf,1405,11240,1,0,0,0.002135231,0.881917104,0.376770161,0,0.875,0.875,0.002135231,0.032975541,0.542496586,0.166849165,0.00555054,0.542496586,0.001245552,0.02826475,0.542496586,0.00480427,0.03663949,0.002561312,1.142286432,1.671023052,0.110120424,0.449784434,1.313716802
SWGCP_only_5000/SWlin2006.15178.cnf,2250,18000,1,0,0,0.001333333,0.881917104,0.376770161,0,0.875,0.875,0.001333333,0.031426968,0.507557977,0.166832427,0.005290142,0.507557977,0.000777778,0.026937401,0.507557977,0.003,0.034918853,0.001599198,1.142243454,1.631026502,0.110121295,0.449578041,1.29974917
